,City,Latitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Sola,-13.88,81.21,84.0,99.0,19.51
1,Limoges,45.75,68.0,72.0,33.0,8.05
2,Cidreira,-30.18,62.64,69.0,21.0,4.52
3,Kattivakkam,13.22,87.8,74.0,20.0,11.41
4,Vila Franca Do Campo,37.72,66.2,72.0,40.0,14.99
5,Hobart,-42.88,44.01,80.0,0.0,5.82
6,Provideniya,64.38,45.75,58.0,3.0,1.14
7,Punta Arenas,-53.15,42.8,52.0,90.0,23.04
8,Tuktoyaktuk,69.45,33.8,74.0,20.0,9.17
9,Broome,42.25,69.01,93.0,90.0,6.93
10,Barrow,71.29,30.2,86.0,1.0,16.11
11,Fairbanks,64.84,51.8,93.0,90.0,2.04
12,Atuona,-9.8,80.92,74.0,4.0,15.73
13,Nishihara,26.18,82.4,83.0,20.0,12.75
14,Bluff,-46.6,48.42,88.0,100.0,28.07
15,Victoria,22.29,84.99,79.0,29.0,4.0
16,Pisco,-13.7,64.99,93.0,90.0,4.7
17,Kapaa,22.08,75.2,94.0,75.0,6.93
18,Vaini,-21.2,77.0,83.0,40.0,9.17
19,Turayf,31.67,80.6,28.0,4.0,18.34
20,Albany,42.6,66.0,68.0,98.0,1.3
21,Illoqqortoormiut,,,,,
22,Jonesboro,35.84,80.01,78.0,20.0,10.29
23,Mbinga,-10.93,71.6,64.0,40.0,3.29
24,Lagoa,39.05,62.8,83.0,83.0,24.09
25,Chapais,49.78,53.6,32.0,75.0,9.17
26,Pahrump,36.21,84.99,23.0,100.0,1.01
27,Rikitea,-23.12,75.16,83.0,100.0,22.08
28,Tasiilaq,65.61,50.0,53.0,75.0,3.36
29,Kalyazin,57.24,56.97,87.0,100.0,11.36
30,Aykhal,66.0,57.2,47.0,75.0,11.18
31,Castro,-24.79,62.26,87.0,97.0,3.83
32,San Policarpo,12.18,82.67,67.0,0.0,4.61
33,Barentsburg,,,,,
34,Dikson,73.51,31.84,97.0,72.0,11.21
35,Ha Tinh,18.33,82.76,71.0,61.0,5.93
36,Busselton,-33.65,54.0,73.0,18.0,5.79
37,Mataura,-46.19,47.97,93.0,100.0,7.18
38,San Patricio,19.22,77.0,83.0,75.0,3.15
39,Westport,41.14,79.0,66.0,81.0,1.01
40,Semey,50.41,66.13,46.0,100.0,6.44
41,New Norfolk,-42.78,44.01,72.0,1.0,3.13
42,Los Llanos De Aridane,28.66,73.4,78.0,75.0,6.93
43,Camacha,33.08,71.6,64.0,20.0,12.75
44,Maningrida,-12.07,67.35,86.0,0.0,10.45
45,Urumqi,43.8,86.0,19.0,29.0,4.47
46,Grand Gaube,-20.01,71.01,74.0,59.0,5.99
47,Rawson,-43.3,49.75,47.0,0.0,18.61
48,Yarovoye,52.93,57.11,51.0,43.0,8.61
49,Nouadhibou,20.93,77.0,65.0,28.0,20.8
50,Banjarmasin,-3.32,75.42,90.0,98.0,3.94
51,Ushuaia,-54.8,42.8,70.0,75.0,19.46
52,Vakhrushevo,55.23,62.6,45.0,40.0,4.47
53,Torbay,47.67,55.4,54.0,20.0,25.28
54,Avera,33.19,82.4,65.0,1.0,8.05
55,Mamallapuram,12.63,87.8,74.0,20.0,11.41
56,Linjiang,41.81,54.75,84.0,83.0,4.59
57,Fare,-16.7,79.75,73.0,56.0,4.97
58,Clyde River,70.47,28.4,92.0,20.0,4.7
59,Grand River South East,,,,,
60,Meyungs,,,,,
61,Fortuna,40.6,57.99,100.0,1.0,3.36
62,Luderitz,-26.65,68.0,64.0,100.0,12.75
63,Mahebourg,-20.41,71.6,78.0,75.0,11.41
64,Waitati,-45.75,51.01,91.0,100.0,23.0
65,Butaritari,3.07,82.0,77.0,100.0,5.21
66,Belushya Guba,,,,,
67,Vaitupu,,,,,
68,Oum Hadjer,13.3,106.77,9.0,9.0,3.78
69,Metu,8.3,62.44,94.0,94.0,2.17
70,Mantua,45.17,80.01,53.0,58.0,7.0
