City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,DateTime
Sola,-13.88,167.55,81.21,84.0,99.0,19.51,VU,1591198357
Limoges,45.75,1.33,68.0,72.0,33.0,8.05,FR,1591198357
Cidreira,-30.18,-50.21,62.64,69.0,21.0,4.52,BR,1591198357
Kattivakkam,13.22,80.32,87.8,74.0,20.0,11.41,IN,1591198357
Vila Franca Do Campo,37.72,-25.43,66.2,72.0,40.0,14.99,PT,1591198358
Hobart,-42.88,147.33,44.01,80.0,0.0,5.82,AU,1591198250
Provideniya,64.38,-173.3,45.75,58.0,3.0,1.14,RU,1591198358
Punta Arenas,-53.15,-70.92,42.8,52.0,90.0,23.04,CL,1591198126
Tuktoyaktuk,69.45,-133.04,33.8,74.0,20.0,9.17,CA,1591198358
Broome,42.25,-75.83,69.01,93.0,90.0,6.93,US,1591198358
Barrow,71.29,-156.79,30.2,86.0,1.0,16.11,US,1591198117
Fairbanks,64.84,-147.72,51.8,93.0,90.0,2.04,US,1591198086
Atuona,-9.8,-139.03,80.92,74.0,4.0,15.73,PF,1591198359
Nishihara,26.18,127.76,82.4,83.0,20.0,12.75,JP,1591198359
Bluff,-46.6,168.33,48.42,88.0,100.0,28.07,NZ,1591198359
Victoria,22.29,114.16,84.99,79.0,29.0,4.0,HK,1591198354
Pisco,-13.7,-76.22,64.99,93.0,90.0,4.7,PE,1591198359
Kapaa,22.08,-159.32,75.2,94.0,75.0,6.93,US,1591198359
Vaini,-21.2,-175.2,77.0,83.0,40.0,9.17,TO,1591198360
Turayf,31.67,38.66,80.6,28.0,4.0,18.34,SA,1591198360
Albany,42.6,-73.97,66.0,68.0,98.0,1.3,US,1591198158
Illoqqortoormiut,,,,,,,,
Jonesboro,35.84,-90.7,80.01,78.0,20.0,10.29,US,1591198360
Mbinga,-10.93,35.02,71.6,64.0,40.0,3.29,TZ,1591198360
Lagoa,39.05,-27.98,62.8,83.0,83.0,24.09,PT,1591198361
Chapais,49.78,-74.85,53.6,32.0,75.0,9.17,CA,1591198361
Pahrump,36.21,-115.98,84.99,23.0,100.0,1.01,US,1591198263
Rikitea,-23.12,-134.97,75.16,83.0,100.0,22.08,PF,1591198361
Tasiilaq,65.61,-37.64,50.0,53.0,75.0,3.36,GL,1591198361
Kalyazin,57.24,37.84,56.97,87.0,100.0,11.36,RU,1591198361
Aykhal,66.0,111.5,57.2,47.0,75.0,11.18,RU,1591198361
Castro,-24.79,-50.01,62.26,87.0,97.0,3.83,BR,1591198081
San Policarpo,12.18,125.51,82.67,67.0,0.0,4.61,PH,1591198362
Barentsburg,,,,,,,,
Dikson,73.51,80.55,31.84,97.0,72.0,11.21,RU,1591198362
Ha Tinh,18.33,105.9,82.76,71.0,61.0,5.93,VN,1591198362
Busselton,-33.65,115.33,54.0,73.0,18.0,5.79,AU,1591198362
Mataura,-46.19,168.86,47.97,93.0,100.0,7.18,NZ,1591198362
San Patricio,19.22,-104.7,77.0,83.0,75.0,3.15,MX,1591198363
Westport,41.14,-73.36,79.0,66.0,81.0,1.01,US,1591198362
Semey,50.41,80.23,66.13,46.0,100.0,6.44,KZ,1591198384
New Norfolk,-42.78,147.06,44.01,72.0,1.0,3.13,AU,1591198384
Los Llanos De Aridane,28.66,-17.92,73.4,78.0,75.0,6.93,ES,1591198384
Camacha,33.08,-16.33,71.6,64.0,20.0,12.75,PT,1591198384
Maningrida,-12.07,134.27,67.35,86.0,0.0,10.45,AU,1591198384
Urumqi,43.8,87.6,86.0,19.0,29.0,4.47,CN,1591198385
Grand Gaube,-20.01,57.66,71.01,74.0,59.0,5.99,MU,1591198385
Rawson,-43.3,-65.1,49.75,47.0,0.0,18.61,AR,1591198385
Yarovoye,52.93,78.58,57.11,51.0,43.0,8.61,RU,1591198385
Nouadhibou,20.93,-17.03,77.0,65.0,28.0,20.8,MR,1591198385
Banjarmasin,-3.32,114.59,75.42,90.0,98.0,3.94,ID,1591198385
Ushuaia,-54.8,-68.3,42.8,70.0,75.0,19.46,AR,1591198385
Vakhrushevo,55.23,61.72,62.6,45.0,40.0,4.47,RU,1591198386
Torbay,47.67,-52.73,55.4,54.0,20.0,25.28,CA,1591198386
Avera,33.19,-82.53,82.4,65.0,1.0,8.05,US,1591198386
Mamallapuram,12.63,80.17,87.8,74.0,20.0,11.41,IN,1591198386
Linjiang,41.81,126.91,54.75,84.0,83.0,4.59,CN,1591198386
Fare,-16.7,-151.02,79.75,73.0,56.0,4.97,PF,1591198386
Clyde River,70.47,-68.59,28.4,92.0,20.0,4.7,CA,1591198386
Grand River South East,,,,,,,,
Meyungs,,,,,,,,
Fortuna,40.6,-124.16,57.99,100.0,1.0,3.36,US,1591198387
